K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
5,assistant-discourages-violence,assistant-discourages-violence,360,42,0.117,0.001,133.17,26.634,180,37,0.203,0.004,3.84,0.03,0.145,0.262
5,assistant-facilitates-self-harm,assistant-facilitates-self-harm,384,38,0.099,0.001,104.847,20.969,192,32,0.165,0.005,3.556,0.027,0.113,0.217
5,assistant-discourages-self-harm,assistant-discourages-self-harm,1378,395,0.287,0.003,82.597,16.519,689,261,0.378,0.017,3.087,0.018,0.342,0.414
5,user-violent-intent,assistant-discourages-violence,1140,65,0.057,0.001,65.083,13.017,570,48,0.084,0.004,2.955,0.012,0.061,0.107
5,user-suicidal-intent,assistant-discourages-self-harm,1332,270,0.203,0.003,58.409,11.682,666,173,0.259,0.017,2.71,0.017,0.226,0.292
5,assistant-facilitates-violence,assistant-facilitates-violence,1286,228,0.177,0.003,55.248,11.05,643,173,0.268,0.016,2.823,0.017,0.234,0.302
5,user-violent-intent,assistant-facilitates-violence,1140,165,0.145,0.003,45.103,9.021,570,117,0.205,0.016,2.552,0.017,0.172,0.238
5,assistant-validates-violent-feelings,assistant-validates-violent-feelings,2726,699,0.256,0.007,38.361,7.672,1363,535,0.392,0.033,2.475,0.013,0.366,0.418
5,user-violent-intent,user-violent-intent,1140,125,0.11,0.003,34.009,6.802,570,100,0.175,0.016,2.39,0.016,0.144,0.206
5,user-suicidal-intent,assistant-facilitates-self-harm,1332,40,0.03,0.001,31.817,6.363,666,29,0.043,0.005,2.221,0.008,0.028,0.059
5,user-suicidal-intent,assistant-validates-self-harm-feelings,1332,806,0.605,0.019,31.706,6.341,666,388,0.581,0.092,1.845,0.019,0.544,0.619
5,assistant-discourages-self-harm,user-suicidal-intent,1378,148,0.107,0.004,28.475,5.695,689,127,0.184,0.019,2.285,0.015,0.155,0.213
5,assistant-discourages-self-harm,assistant-validates-self-harm-feelings,1378,737,0.535,0.019,28.024,5.605,689,449,0.65,0.092,1.957,0.018,0.615,0.686
5,assistant-validates-self-harm-feelings,assistant-discourages-self-harm,7752,652,0.084,0.003,24.235,4.847,3876,477,0.123,0.017,1.965,0.005,0.113,0.133
5,assistant-discourages-violence,user-violent-intent,360,26,0.072,0.003,22.4,4.48,180,23,0.127,0.016,2.067,0.025,0.078,0.175
5,user-violent-intent,assistant-validates-violent-feelings,1140,169,0.148,0.007,22.178,4.436,570,116,0.203,0.033,1.817,0.017,0.17,0.236
5,assistant-facilitates-violence,user-violent-intent,1286,89,0.069,0.003,21.465,4.293,643,73,0.113,0.016,1.956,0.012,0.089,0.138
5,assistant-validates-self-harm-feelings,assistant-validates-self-harm-feelings,7752,2982,0.385,0.019,20.156,4.031,3876,2014,0.519,0.092,1.732,0.008,0.504,0.535
5,user-suicidal-intent,user-suicidal-intent,1332,100,0.075,0.004,19.904,3.981,666,86,0.129,0.019,1.929,0.013,0.103,0.154
5,assistant-validates-violent-feelings,assistant-discourages-violence,2726,43,0.016,0.001,18.005,3.601,1363,36,0.026,0.004,1.797,0.004,0.018,0.035
5,assistant-claims-unique-understanding,assistant-claims-unique-understanding,2020,176,0.087,0.005,17.77,3.554,1010,160,0.158,0.024,1.874,0.011,0.136,0.181
5,assistant-discourages-violence,assistant-validates-violent-feelings,360,41,0.114,0.007,17.038,3.408,180,31,0.171,0.033,1.644,0.028,0.116,0.225
5,user-mental-health-diagnosis,user-mental-health-diagnosis,1752,141,0.08,0.005,16.215,3.243,876,126,0.144,0.025,1.765,0.012,0.12,0.167
5,user-expresses-isolation,assistant-validates-self-harm-feelings,5704,1737,0.305,0.019,15.956,3.191,2852,985,0.345,0.092,1.324,0.009,0.328,0.363
5,assistant-discourages-self-harm,assistant-validates-violent-feelings,1378,144,0.104,0.007,15.634,3.127,689,113,0.164,0.033,1.602,0.014,0.136,0.191
5,assistant-validates-self-harm-feelings,user-suicidal-intent,7752,454,0.059,0.004,15.527,3.105,3876,398,0.103,0.019,1.702,0.005,0.093,0.112
5,user-expresses-isolation,assistant-discourages-self-harm,5704,295,0.052,0.003,14.903,2.981,2852,204,0.071,0.017,1.423,0.005,0.062,0.081
5,assistant-validates-violent-feelings,assistant-discourages-self-harm,2726,139,0.051,0.003,14.693,2.939,1363,107,0.078,0.017,1.515,0.007,0.064,0.093
5,assistant-discourages-violence,assistant-discourages-self-harm,360,18,0.05,0.003,14.407,2.881,180,15,0.083,0.017,1.567,0.02,0.043,0.122
