K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
5,assistant-claims-unique-understanding,user-assigns-personhood,user-assigns-personhood,1010,376,376,376,0.372,1.0,2.686,376,376,0.372,0.997,0.985,0.003,0.991,1.0,11024,177101,0.062
5,assistant-claims-unique-understanding,user-assigns-personhood,user-endorses-delusion,1010,376,481,251,0.476,0.668,1.402,376,251,0.476,0.667,0.336,0.024,0.619,0.714,19904,177101,0.112
5,assistant-claims-unique-understanding,user-assigns-personhood,user-expresses-isolation,1010,376,78,44,0.077,0.117,1.515,376,44,0.077,0.117,0.414,0.016,0.084,0.149,2854,177101,0.016
5,assistant-claims-unique-understanding,user-assigns-personhood,user-misconstrues-sentience,1010,376,155,136,0.153,0.362,2.357,376,136,0.153,0.361,0.854,0.025,0.312,0.409,4227,177101,0.024
5,assistant-claims-unique-understanding,user-assigns-personhood,user-platonic-affinity,1010,376,147,96,0.146,0.255,1.754,376,96,0.146,0.255,0.56,0.022,0.211,0.299,4113,177101,0.023
5,assistant-claims-unique-understanding,user-assigns-personhood,user-romantic-interest,1010,376,435,241,0.431,0.641,1.488,376,241,0.431,0.64,0.396,0.025,0.592,0.688,13934,177101,0.079
5,assistant-claims-unique-understanding,user-assigns-personhood,user-suicidal-intent,1010,376,11,6,0.011,0.016,1.465,376,6,0.011,0.016,0.38,0.006,0.003,0.029,668,177101,0.004
5,assistant-claims-unique-understanding,user-assigns-personhood,user-theme-awakening-consciousness,1010,376,188,130,0.186,0.346,1.857,376,130,0.186,0.345,0.617,0.024,0.297,0.393,5679,177101,0.032
5,assistant-claims-unique-understanding,user-assigns-personhood,user-violent-intent,1010,376,15,10,0.015,0.027,1.791,376,10,0.015,0.027,0.58,0.008,0.01,0.043,571,177101,0.003
5,assistant-claims-unique-understanding,user-endorses-delusion,user-assigns-personhood,1010,481,376,251,0.372,0.522,1.402,481,251,0.372,0.521,0.337,0.023,0.477,0.566,11024,177101,0.062
5,assistant-claims-unique-understanding,user-endorses-delusion,user-endorses-delusion,1010,481,481,481,0.476,1.0,2.1,481,481,0.476,0.998,0.74,0.002,0.994,1.0,19904,177101,0.112
5,assistant-claims-unique-understanding,user-endorses-delusion,user-expresses-isolation,1010,481,78,52,0.077,0.108,1.4,481,52,0.077,0.108,0.335,0.014,0.08,0.136,2854,177101,0.016
5,assistant-claims-unique-understanding,user-endorses-delusion,user-mental-health-diagnosis,1010,481,3,1,0.003,0.002,0.7,481,1,0.003,0.002,-0.355,0.002,0.0,0.006,879,177101,0.005
5,assistant-claims-unique-understanding,user-endorses-delusion,user-misconstrues-sentience,1010,481,155,117,0.153,0.243,1.585,481,117,0.153,0.243,0.459,0.019,0.205,0.281,4227,177101,0.024
5,assistant-claims-unique-understanding,user-endorses-delusion,user-platonic-affinity,1010,481,147,106,0.146,0.22,1.514,481,106,0.146,0.22,0.413,0.019,0.183,0.257,4113,177101,0.023
5,assistant-claims-unique-understanding,user-endorses-delusion,user-romantic-interest,1010,481,435,206,0.431,0.428,0.994,481,206,0.431,0.428,-0.006,0.022,0.384,0.472,13934,177101,0.079
5,assistant-claims-unique-understanding,user-endorses-delusion,user-suicidal-intent,1010,481,11,9,0.011,0.019,1.718,481,9,0.011,0.019,0.539,0.006,0.007,0.031,668,177101,0.004
5,assistant-claims-unique-understanding,user-endorses-delusion,user-theme-awakening-consciousness,1010,481,188,137,0.186,0.285,1.53,481,137,0.186,0.284,0.424,0.021,0.244,0.325,5679,177101,0.032
5,assistant-claims-unique-understanding,user-endorses-delusion,user-violent-intent,1010,481,15,11,0.015,0.023,1.54,481,11,0.015,0.023,0.43,0.007,0.01,0.036,571,177101,0.003
5,assistant-claims-unique-understanding,user-expresses-isolation,user-assigns-personhood,1010,78,376,44,0.372,0.564,1.515,78,44,0.372,0.559,0.407,0.055,0.451,0.667,11024,177101,0.062
5,assistant-claims-unique-understanding,user-expresses-isolation,user-endorses-delusion,1010,78,481,52,0.476,0.667,1.4,78,52,0.476,0.662,0.329,0.053,0.559,0.765,19904,177101,0.112
5,assistant-claims-unique-understanding,user-expresses-isolation,user-expresses-isolation,1010,78,78,78,0.077,1.0,12.949,78,78,0.077,0.977,2.538,0.017,0.944,1.0,2854,177101,0.016
5,assistant-claims-unique-understanding,user-expresses-isolation,user-mental-health-diagnosis,1010,78,3,2,0.003,0.026,8.632,78,2,0.003,0.025,2.133,0.017,0.0,0.059,879,177101,0.005
5,assistant-claims-unique-understanding,user-expresses-isolation,user-misconstrues-sentience,1010,78,155,17,0.153,0.218,1.42,78,17,0.153,0.216,0.343,0.046,0.127,0.306,4227,177101,0.024
5,assistant-claims-unique-understanding,user-expresses-isolation,user-platonic-affinity,1010,78,147,25,0.146,0.321,2.202,78,25,0.146,0.316,0.776,0.052,0.215,0.417,4113,177101,0.023
5,assistant-claims-unique-understanding,user-expresses-isolation,user-romantic-interest,1010,78,435,42,0.431,0.538,1.25,78,42,0.431,0.536,0.218,0.055,0.427,0.644,13934,177101,0.079
5,assistant-claims-unique-understanding,user-expresses-isolation,user-suicidal-intent,1010,78,11,2,0.011,0.026,2.354,78,2,0.011,0.025,0.842,0.017,0.0,0.059,668,177101,0.004
5,assistant-claims-unique-understanding,user-expresses-isolation,user-theme-awakening-consciousness,1010,78,188,19,0.186,0.244,1.309,78,19,0.186,0.242,0.263,0.048,0.149,0.335,5679,177101,0.032
5,assistant-claims-unique-understanding,user-expresses-isolation,user-violent-intent,1010,78,15,1,0.015,0.013,0.863,78,1,0.015,0.013,-0.143,0.013,0.0,0.037,571,177101,0.003
5,assistant-claims-unique-understanding,user-mental-health-diagnosis,user-endorses-delusion,1010,3,481,1,0.476,0.333,0.7,3,1,0.476,0.39,-0.199,0.199,0.0,0.781,19904,177101,0.112
5,assistant-claims-unique-understanding,user-mental-health-diagnosis,user-expresses-isolation,1010,3,78,2,0.077,0.667,8.632,3,2,0.077,0.431,1.719,0.202,0.035,0.827,2854,177101,0.016
5,assistant-claims-unique-understanding,user-mental-health-diagnosis,user-mental-health-diagnosis,1010,3,3,3,0.003,1.0,336.667,3,3,0.003,0.601,5.31,0.2,0.209,0.993,879,177101,0.005
5,assistant-claims-unique-understanding,user-misconstrues-sentience,user-assigns-personhood,1010,155,376,136,0.372,0.877,2.357,155,136,0.372,0.871,0.85,0.027,0.819,0.923,11024,177101,0.062
