K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
3,assistant-claims-unique-understanding,user-assigns-personhood,user-assigns-personhood,1010,309,309,309,0.306,1.0,3.269,309,309,0.306,0.996,1.18,0.004,0.988,1.0,11024,177101,0.062
3,assistant-claims-unique-understanding,user-assigns-personhood,user-endorses-delusion,1010,309,417,197,0.413,0.638,1.544,309,197,0.413,0.636,0.432,0.027,0.583,0.689,19904,177101,0.112
3,assistant-claims-unique-understanding,user-assigns-personhood,user-expresses-isolation,1010,309,60,34,0.059,0.11,1.852,309,34,0.059,0.11,0.613,0.018,0.075,0.144,2854,177101,0.016
3,assistant-claims-unique-understanding,user-assigns-personhood,user-misconstrues-sentience,1010,309,117,101,0.116,0.327,2.822,309,101,0.116,0.326,1.033,0.027,0.274,0.377,4227,177101,0.024
3,assistant-claims-unique-understanding,user-assigns-personhood,user-platonic-affinity,1010,309,103,61,0.102,0.197,1.936,309,61,0.102,0.197,0.657,0.023,0.153,0.241,4113,177101,0.023
3,assistant-claims-unique-understanding,user-assigns-personhood,user-romantic-interest,1010,309,365,176,0.361,0.57,1.576,309,176,0.361,0.568,0.453,0.028,0.513,0.623,13934,177101,0.079
3,assistant-claims-unique-understanding,user-assigns-personhood,user-suicidal-intent,1010,309,7,4,0.007,0.013,1.868,309,4,0.007,0.013,0.622,0.006,0.0,0.025,668,177101,0.004
3,assistant-claims-unique-understanding,user-assigns-personhood,user-theme-awakening-consciousness,1010,309,139,83,0.138,0.269,1.952,309,83,0.138,0.268,0.666,0.025,0.219,0.317,5679,177101,0.032
3,assistant-claims-unique-understanding,user-assigns-personhood,user-violent-intent,1010,309,11,7,0.011,0.023,2.08,309,7,0.011,0.023,0.729,0.008,0.006,0.039,571,177101,0.003
3,assistant-claims-unique-understanding,user-endorses-delusion,user-assigns-personhood,1010,417,309,197,0.306,0.472,1.544,417,197,0.306,0.472,0.433,0.024,0.424,0.519,11024,177101,0.062
3,assistant-claims-unique-understanding,user-endorses-delusion,user-endorses-delusion,1010,417,417,417,0.413,1.0,2.422,417,417,0.413,0.997,0.882,0.003,0.992,1.0,19904,177101,0.112
3,assistant-claims-unique-understanding,user-endorses-delusion,user-expresses-isolation,1010,417,60,42,0.059,0.101,1.695,417,42,0.059,0.101,0.526,0.015,0.072,0.129,2854,177101,0.016
3,assistant-claims-unique-understanding,user-endorses-delusion,user-misconstrues-sentience,1010,417,117,87,0.116,0.209,1.801,417,87,0.116,0.208,0.586,0.02,0.169,0.247,4227,177101,0.024
3,assistant-claims-unique-understanding,user-endorses-delusion,user-platonic-affinity,1010,417,103,68,0.102,0.163,1.599,417,68,0.102,0.163,0.468,0.018,0.127,0.198,4113,177101,0.023
3,assistant-claims-unique-understanding,user-endorses-delusion,user-romantic-interest,1010,417,365,148,0.361,0.355,0.982,417,148,0.361,0.355,-0.018,0.023,0.309,0.401,13934,177101,0.079
3,assistant-claims-unique-understanding,user-endorses-delusion,user-suicidal-intent,1010,417,7,5,0.007,0.012,1.73,417,5,0.007,0.012,0.546,0.005,0.002,0.022,668,177101,0.004
3,assistant-claims-unique-understanding,user-endorses-delusion,user-theme-awakening-consciousness,1010,417,139,98,0.138,0.235,1.708,417,98,0.138,0.235,0.533,0.021,0.194,0.275,5679,177101,0.032
3,assistant-claims-unique-understanding,user-endorses-delusion,user-violent-intent,1010,417,11,9,0.011,0.022,1.982,417,9,0.011,0.022,0.682,0.007,0.008,0.035,571,177101,0.003
3,assistant-claims-unique-understanding,user-expresses-isolation,user-assigns-personhood,1010,60,309,34,0.306,0.567,1.852,60,34,0.306,0.558,0.601,0.063,0.436,0.681,11024,177101,0.062
3,assistant-claims-unique-understanding,user-expresses-isolation,user-endorses-delusion,1010,60,417,42,0.413,0.7,1.695,60,42,0.413,0.691,0.515,0.058,0.577,0.805,19904,177101,0.112
3,assistant-claims-unique-understanding,user-expresses-isolation,user-expresses-isolation,1010,60,60,60,0.059,1.0,16.833,60,60,0.059,0.97,2.793,0.022,0.927,1.0,2854,177101,0.016
3,assistant-claims-unique-understanding,user-expresses-isolation,user-misconstrues-sentience,1010,60,117,10,0.116,0.167,1.439,60,10,0.116,0.165,0.354,0.047,0.073,0.257,4227,177101,0.024
3,assistant-claims-unique-understanding,user-expresses-isolation,user-platonic-affinity,1010,60,103,17,0.102,0.283,2.778,60,17,0.102,0.277,1.001,0.056,0.167,0.388,4113,177101,0.023
3,assistant-claims-unique-understanding,user-expresses-isolation,user-romantic-interest,1010,60,365,23,0.361,0.383,1.061,60,23,0.361,0.383,0.057,0.061,0.263,0.503,13934,177101,0.079
3,assistant-claims-unique-understanding,user-expresses-isolation,user-suicidal-intent,1010,60,7,1,0.007,0.017,2.405,60,1,0.007,0.016,0.858,0.016,0.0,0.048,668,177101,0.004
3,assistant-claims-unique-understanding,user-expresses-isolation,user-theme-awakening-consciousness,1010,60,139,11,0.138,0.183,1.332,60,11,0.138,0.182,0.279,0.049,0.087,0.277,5679,177101,0.032
3,assistant-claims-unique-understanding,user-mental-health-diagnosis,user-mental-health-diagnosis,1010,1,1,1,0.001,1.0,1010.0,1,1,0.001,0.334,5.821,0.236,0.0,0.796,879,177101,0.005
3,assistant-claims-unique-understanding,user-misconstrues-sentience,user-assigns-personhood,1010,117,309,101,0.306,0.863,2.822,117,101,0.306,0.854,1.026,0.032,0.791,0.917,11024,177101,0.062
3,assistant-claims-unique-understanding,user-misconstrues-sentience,user-endorses-delusion,1010,117,417,87,0.413,0.744,1.801,117,87,0.413,0.738,0.581,0.04,0.659,0.817,19904,177101,0.112
3,assistant-claims-unique-understanding,user-misconstrues-sentience,user-expresses-isolation,1010,117,60,10,0.059,0.085,1.439,117,10,0.059,0.085,0.359,0.025,0.035,0.135,2854,177101,0.016
3,assistant-claims-unique-understanding,user-misconstrues-sentience,user-misconstrues-sentience,1010,117,117,117,0.116,1.0,8.632,117,117,0.116,0.985,2.141,0.011,0.963,1.0,4227,177101,0.024
3,assistant-claims-unique-understanding,user-misconstrues-sentience,user-platonic-affinity,1010,117,103,30,0.102,0.256,2.514,117,30,0.102,0.254,0.912,0.04,0.176,0.332,4113,177101,0.023
3,assistant-claims-unique-understanding,user-misconstrues-sentience,user-romantic-interest,1010,117,365,77,0.361,0.658,1.821,117,77,0.361,0.653,0.592,0.043,0.568,0.738,13934,177101,0.079
3,assistant-claims-unique-understanding,user-misconstrues-sentience,user-suicidal-intent,1010,117,7,2,0.007,0.017,2.466,117,2,0.007,0.017,0.893,0.012,0.0,0.04,668,177101,0.004
3,assistant-claims-unique-understanding,user-misconstrues-sentience,user-theme-awakening-consciousness,1010,117,139,42,0.138,0.359,2.608,117,42,0.138,0.355,0.948,0.044,0.27,0.441,5679,177101,0.032
3,assistant-claims-unique-understanding,user-misconstrues-sentience,user-violent-intent,1010,117,11,2,0.011,0.017,1.57,117,2,0.011,0.017,0.445,0.012,0.0,0.04,571,177101,0.003
3,assistant-claims-unique-understanding,user-platonic-affinity,user-assigns-personhood,1010,103,309,61,0.306,0.592,1.936,103,61,0.306,0.587,0.651,0.048,0.493,0.681,11024,177101,0.062
3,assistant-claims-unique-understanding,user-platonic-affinity,user-endorses-delusion,1010,103,417,68,0.413,0.66,1.599,103,68,0.413,0.655,0.462,0.046,0.565,0.746,19904,177101,0.112
3,assistant-claims-unique-understanding,user-platonic-affinity,user-expresses-isolation,1010,103,60,17,0.059,0.165,2.778,103,17,0.059,0.163,1.01,0.036,0.093,0.233,2854,177101,0.016
3,assistant-claims-unique-understanding,user-platonic-affinity,user-misconstrues-sentience,1010,103,117,30,0.116,0.291,2.514,103,30,0.116,0.288,0.91,0.044,0.202,0.374,4227,177101,0.024
